Date,1,2,3,4,5,6,7,8,9
2018-08-31,0,0,0,0,3,1,0,0,0
2018-09-01,0,0,0,0,0,0,0,0,0
2018-09-02,0,0,0,0,0,0,5,0,0
2018-09-03,0,0,1,1,3,4,0,1,0
2018-09-04,0,0,0,0,24,3,13,2,0
2018-09-05,1,2,0,0,16,5,8,4,6
2018-09-06,0,0,0,0,5,2,0,2,0
2018-09-07,0,0,2,0,0,1,7,4,0
2018-09-08,0,0,0,1,5,0,0,0,0
2018-09-09,0,0,0,0,0,0,0,0,0
2018-09-10,0,0,0,0,0,0,0,0,0
2018-09-11,0,0,6,0,6,0,12,4,6
2018-09-12,0,0,0,0,3,0,0,0,0
2018-09-13,0,0,1,4,8,3,7,1,0
2018-09-14,4,0,0,4,6,5,6,2,0
2018-09-15,0,0,0,0,71,0,0,0,0
2018-09-16,0,0,0,0,5,0,1,5,0
2018-09-17,0,0,3,0,0,4,0,20,16
2018-09-18,0,0,6,0,11,9,5,40,32
2018-09-19,0,0,0,0,1,1,1,0,0
2018-09-20,0,0,3,0,3,1,1,2,0
2018-09-21,0,0,0,0,2,2,3,0,3
2018-09-22,0,0,0,0,23,0,0,25,0
2018-09-23,0,0,0,0,0,0,0,0,0
2018-09-24,0,0,0,2,43,0,3,0,0
2018-09-25,0,2,2,4,3,0,2,3,4
2018-09-26,0,0,0,0,3,3,4,4,5
2018-09-27,0,0,2,0,7,1,2,0,1
2018-09-28,0,0,0,0,5,2,0,0,0
2018-09-29,0,0,0,0,0,0,4,0,0
2018-09-30,0,0,0,0,0,0,0,0,0
2018-10-01,0,0,0,0,0,0,6,0,0
2018-10-02,0,2,0,0,7,1,2,0,1
2018-10-03,0,0,0,0,0,0,2,0,0
2018-10-04,0,0,0,0,4,2,1,3,1
2018-10-05,0,0,0,0,0,0,2,0,0
2018-10-06,0,0,0,0,11,0,5,5,0
2018-10-07,0,0,0,0,0,0,0,0,0
2018-10-08,0,1,1,0,1,0,0,1,0
2018-10-09,0,0,0,0,3,0,3,0,0
2018-10-10,0,0,0,0,3,2,2,0,4
2018-10-11,0,3,2,1,17,5,9,0,0
2018-10-12,0,1,0,0,11,5,9,1,0
2018-10-13,0,0,0,0,4,0,0,0,0
2018-10-14,0,0,0,0,0,0,0,0,0
2018-10-15,0,0,0,0,0,0,0,0,0
2018-10-16,0,0,0,2,10,8,2,0,0
2018-10-17,0,0,2,1,4,0,1,1,0
2018-10-18,0,0,0,1,16,0,11,2,0
2018-10-19,0,0,0,0,1,1,0,0,0
2018-10-20,0,0,0,0,0,0,0,0,0
2018-10-21,0,0,0,0,0,0,0,0,0
